"","pVal","phase","peak.shape","period"
"572",1.06711876050185e-07,4,8,24
"573",5.80885053007307e-08,4,6,24
"574",1.12048406853279e-06,4,6,24
"575",1.59726948372765e-06,6,6,24
"576",7.32765312123889e-07,4,8,24
"577",4.70005226663832e-07,4,8,24
"578",9.71875214457416e-07,4,6,24
"579",7.4539242573957e-07,4,8,24
"580",7.93467018847874e-06,4,6,24
"581",4.14905357353083e-11,4,8,24
"582",2.91778892692879e-05,4,8,24
"583",4.14263022080637e-07,4,8,24
"584",7.38988358869909e-09,4,8,24
"585",4.07120556182695e-07,4,8,24
"586",2.8175035389016e-05,4,6,24
"587",4.70005226663832e-07,4,8,24
"588",2.83928497056262e-05,6,6,24
"589",5.3590142883354e-06,6,6,24
"590",2.03560278091348e-07,4,6,24
"591",1.13830809899798e-07,4,8,24
"592",2.04146861870764e-06,4,6,24
"593",9.09174508367647e-08,4,6,24
"594",6.49970064194333e-06,4,8,24
"595",3.88213704541126e-06,4,8,24
"596",4.11543298971515e-06,4,6,24
"597",2.24096813706558e-06,4,8,24
"598",2.92422773087792e-05,4,8,24
"599",3.89022052610054e-06,4,8,24
"600",5.43987153712661e-07,6,6,24
"601",7.09824429533829e-05,4,6,24
"602",2.00897308035363e-05,4,8,24
"603",2.90134549949363e-08,4,6,24
"604",2.93378611761667e-06,4,6,24
"605",1.49652309264457e-09,4,8,24
"606",2.39780657977691e-05,4,6,24
"607",9.24078072762789e-07,4,6,24
"608",9.40010453327665e-07,4,6,24
"609",5.44745860231354e-06,4,6,24
"610",1.2003976316706e-07,4,8,24
"611",6.9144983071029e-06,4,6,24
"612",1.77406573401751e-09,4,6,24
"613",3.66382656061944e-07,4,6,24
"614",4.62039036381395e-07,4,8,24
"615",2.76683121284888e-07,6,6,24
"616",1.97453522137297e-06,4,6,24
"617",3.05923038263906e-08,4,8,24
"618",4.07120556182695e-07,4,8,24
"619",8.99085061444886e-06,4,6,24
"620",5.05802003180422e-07,4,6,24
"621",1.8793619138792e-05,4,8,24
"622",3.82352941099561e-05,4,6,24
"623",9.87807595022292e-07,6,6,24
"624",2.20165290659074e-06,4,8,24
"625",1.34471759811213e-05,6,6,24
"626",6.57348310946693e-05,4,8,24
"627",3.81016934182885e-06,4,6,24
"628",5.24670370458212e-08,4,6,24
"629",5.62146825490942e-08,6,6,24
"630",0.000133926189525072,6,6,24
"631",1.20416594379789e-06,4,8,24
"632",3.79238187853591e-07,6,6,24
"633",5.53366242569776e-07,6,6,24
"634",1.87998796645513e-07,4,6,24
"635",1.79817012288977e-05,4,8,24
"636",3.47397792931454e-06,6,6,24
"637",4.02401130987136e-06,4,6,24
"638",4.13930217817448e-08,4,6,24
"639",1.72589059215553e-07,4,6,24
"640",2.62614487999216e-07,4,8,24
"641",1.15979929900762e-06,4,6,24
"642",6.7238282502862e-06,4,8,24
"643",2.90134549949363e-08,4,6,24
"644",1.08839994618984e-07,4,6,24
"645",2.02223862425658e-06,4,8,24
"646",7.13058942769211e-09,4,8,24
"647",3.85048486353829e-09,4,8,24
"648",6.6136549010386e-05,4,6,24
"649",1.52373260341993e-09,4,8,24
"650",1.59726948372765e-06,4,6,24
"651",1.15979929900762e-06,4,6,24
"652",3.61831331856653e-05,6,6,24
"653",4.62039036381395e-07,4,8,24
"654",5.34608064855546e-07,4,6,24
"655",1.94106852270563e-06,4,6,24
"656",8.31969197533085e-07,6,6,24
"657",9.16980552580842e-06,4,8,24
"658",9.08145692197913e-07,4,6,24
"659",1.31363557505224e-06,4,8,24
"660",1.80574547926783e-09,4,6,24
"661",2.82835141183274e-05,4,8,24
"662",9.24078072762789e-07,6,6,24
"663",8.43184897528654e-10,4,6,24
"664",1.2003976316706e-07,4,8,24
"665",3.45358698581615e-06,4,8,24
"666",6.00143744322678e-06,6,6,24
"667",2.34261691278896e-06,4,8,24
"668",2.05771649485757e-06,4,8,24
"669",1.57064832566552e-06,4,6,24
"670",2.68943519622426e-05,6,6,24
"671",3.06828030798037e-08,4,6,24
"672",3.41839738533643e-07,6,6,24
"673",5.62745331426891e-07,4,6,24
"674",2.80129910295937e-08,6,6,24
"675",3.34389672228747e-06,4,8,24
"676",9.24078072762789e-07,4,6,24
"677",5.78930130970645e-05,6,6,24
"678",5.79502304944427e-08,6,6,24
"679",4.47021169572508e-06,6,6,24
"680",2.96641874237761e-05,4,6,24
"681",1.31605389286599e-06,4,8,24
"682",3.09283572959011e-07,4,6,24
"683",1.19911452948246e-06,4,6,24
"684",3.28722050665548e-06,4,8,24
"685",1.87998796645513e-07,4,6,24
"686",6.69372238612875e-07,6,6,24
"687",3.03857545363238e-07,4,6,24
