test,period,p,q,amplitude,p(amplitude),q(amplitude),CI(amplitude),acrophase,p(acrophase),q(acrophase),CI(acrophase),acrophase[h]
912.0,24.0,2.2067853286934336e-09,5.585384279153211e-09,1.0027301314668642,2.541319008772637e-26,6.428836349032727e-26,"[0.8175828944722207, 1.1878773684615076]",0.17701817704260847,0.06992168221652675,0.12972520582592517,"[-0.014410793447779596, 0.36844714753299657]",23.323840370557264
913.0,24.0,7.207101695874716e-11,3.5053996575266127e-10,1.0210947824185745,4.489462491562171e-37,2.1846532805655334e-36,"[0.8637781683120062, 1.178411396525143]",-0.06787965889688152,0.4058436667506866,0.5750122793293945,"[-0.22793364442376696, 0.09217432663000391]",0.2592811979719307
914.0,24.0,2.273550943677477e-10,8.312800525328983e-10,1.0329766536386318,4.329125329639535e-33,1.5828611808554058e-32,"[0.864029843270077, 1.2019234640071865]",-0.051163409725022646,0.5551253485078026,0.7149991608807349,"[-0.22109881282898336, 0.11877199337893807]",0.19542982951615928
915.0,24.0,3.386678458139605e-16,1.1465153224379623e-12,1.1399225321089992,3.443096010366075e-119,1.7215480051830374e-115,"[1.0436703718952134, 1.236174692322785]",0.01412824612892738,0.7523287535421603,0.8632135026073695,"[-0.07362038436618597, 0.10187687662404073]",23.946034074992696
916.0,24.0,3.967171422306318e-09,9.430523454611935e-09,0.974484051929833,8.58227860826648e-25,2.0404846905055827e-24,"[0.7887091616808276, 1.1602589421788383]",0.06526549298354745,0.5183589705393222,0.6824104404151161,"[-0.13278769947472233, 0.26331868544181725]",23.750704180280135
917.0,24.0,4.636738088346222e-11,2.5448617389386507e-10,1.0340790565556253,1.0255402254696434e-38,5.628651072830096e-38,"[0.8783361894567987, 1.1898219236544518]",-0.11088031961613254,0.1645958521561114,0.28029797009876783,"[-0.26725148261421505, 0.04549084338195]",0.4235316230044018
918.0,24.0,2.083352642627415e-12,3.719955608323684e-11,1.0155767801978193,2.5212871521072247e-52,4.51843575646456e-51,"[0.8848137392957747, 1.1463398210998639]",-0.06355520584937224,0.35174226215304605,0.5179535593477338,"[-0.19732226193824648, 0.070211850239502]",0.2427630040836128
919.0,24.0,1.864330930807547e-10,7.137560990840532e-10,1.171604173963125,9.482181064141041e-34,3.630237773407749e-33,"[0.9819657488716477, 1.3612425990546024]",-0.020897338390635234,0.8076192135172797,0.8947251564609945,"[-0.1891038092835813, 0.14730913250231084]",0.07982195285600713
920.0,24.0,3.862099109444116e-12,5.283309315245029e-11,1.1311331829335876,2.6678637481787807e-49,3.649608410641287e-48,"[0.9809273812795799, 1.281338984587595]",-0.150111868359593,0.03270939475994826,0.06306033306332805,"[-0.28787615140413647, -0.012347585315049564]",0.5733851007885387
921.0,24.0,3.0548132726354625e-12,4.621502681748052e-11,0.9672700755149136,1.9619294589774534e-50,2.9690222200388023e-49,"[0.8403291376664985, 1.0942110133633287]",-0.010201941569162543,0.883438532287364,0.9400282318443968,"[-0.1465856031640395, 0.12618172002571443]",0.03896854631680574
